feature,importance_mean,importance_std
<<<<<<< Updated upstream
median_income,2.2978949945732374,0.13042503229871283
cost_yr,0.1358561595988525,0.02402706985013451
region_name,0.0006961268509085461,0.0004296916400850337
=======
median_income,2.2978949945732374,0.13042503229871288
cost_yr,0.1358561595988525,0.02402706985013453
region_name,0.0006961268509085517,0.0004296916400850283
>>>>>>> Stashed changes
race_eth_name,6.701515768069433e-05,3.855422965399262e-05
geotype,4.33759323736127e-05,4.230956097570352e-05
