feature_set,model,RMSE,MAE,R2
RQ4-Full (income+cost+context),RandomForest(log1p y),0.023730090657872908,0.006444836093352751,0.9964111774778182
RQ4-Full (income+cost+context),HistGB(log1p y),0.02755322410856501,0.009115115639468914,0.9951616415916923
RQ4-Full (income+cost+context),Linear(log1p y),0.3400116420895842,0.14579661940644267,0.26321502262814334
RQ4-Full (income+cost+context),Dummy(mean),0.39630882112508475,0.21943350648585233,-0.0009690863755349444
RQ4-NoCost (income+context),HistGB(log1p y),0.08473471748831354,0.037181233939426475,0.9542410596761585
RQ4-NoCost (income+context),RandomForest(log1p y),0.0941954829593593,0.03995712030071861,0.9434525088477215
RQ4-NoCost (income+context),Linear(log1p y),0.33735764269389634,0.14571802483673454,0.2746722493258944
RQ4-NoCost (income+context),Dummy(mean),0.39630882112508475,0.21943350648585233,-0.0009690863755349444
